Date,NAS,DJI,SP5
2024-11-04 00:00:00+00:00,-0.0032861686554399583,-0.006125479675042955,-0.002812083478299976
2024-11-05 00:00:00+00:00,0.014256860922954528,0.010223266349627558,0.012265644545291332
2024-11-06 00:00:00+00:00,0.029518724734147517,0.03571728261071705,0.025295927786425976
2024-11-07 00:00:00+00:00,0.0150652237858655,-1.3488330628863565e-05,0.007431229727488331
2024-11-08 00:00:00+00:00,0.0008987464377530063,0.005937625366121635,0.0037568333092317108
2024-11-11 00:00:00+00:00,0.0006211751877069904,0.006914017277583895,0.0009690634297987444
2024-11-12 00:00:00+00:00,-0.000899507284966572,-0.008627713754628785,-0.00289265965137242
2024-11-13 00:00:00+00:00,-0.0026284235830008607,0.0010751510669091413,0.00023222772482434095
2024-11-14 00:00:00+00:00,-0.006399672399173273,-0.004716573285144743,-0.006049734794859041
2024-11-15 00:00:00+00:00,-0.022374872957156677,-0.006991201958532978,-0.013203489851361216
2024-11-18 00:00:00+00:00,0.005979159201779272,-0.0012748701505325144,0.003917814394541086
2024-11-19 00:00:00+00:00,0.010411990678702132,-0.002780854211721584,0.003963584828470035
2024-11-20 00:00:00+00:00,-0.0011233764864474471,0.003224653509314779,2.195086225209586e-05
2024-11-21 00:00:00+00:00,0.00033107931651232825,0.010640384832740768,0.0053404615405816536
2024-11-22 00:00:00+00:00,0.0016460983300286003,0.009714081174910794,0.003467959094991535
2024-11-25 00:00:00+00:00,0.0026936642209673956,0.009934384823438114,0.003020480305938378
2024-11-26 00:00:00+00:00,0.006269322569991687,0.002765931326108584,0.005722005647630368
2024-11-27 00:00:00+00:00,-0.005936086733931978,-0.0030817888760413803,-0.003801238017440034
2024-11-29 00:00:00+00:00,0.008273110081539414,0.004216931189664708,0.005607785488815242
2024-12-02 00:00:00+00:00,0.009666856814682268,-0.0028645419733592803,0.0024484564662998753
2024-12-03 00:00:00+00:00,0.003966251232281781,-0.001707577821446149,0.0004514491145146682
